"ind_1_angle_L1.Y","ind_1_angle_L2.Y","ind_1_angle_L3.Y","ind_1_angle_IN23.Y","ind_2_angle_L1.Y","ind_2_angle_L2.Y","ind_2_angle_L3.Y","ind_2_angle_IN23.Y","ind_3_angle_L1.Y","ind_3_angle_L2.Y","ind_3_angle_L3.Y","ind_3_angle_IN23.Y","time","mean_L1.Y","mean_L2.Y","mean_L3.Y","mean_IN23.Y"
129.4913089288,209.176250441253,172.634400909256,175.806790036441,225.394037335071,163.346695685947,NA,192.060700497939,220.691713292457,138.371671572702,189.387588296153,172.11736222735,2023-12-11 20:00:00,191.859019852109,170.298205899967,181.010994602705,179.994950920577
226.522958010668,131.739485550615,193.872602635691,172.11736222735,133.330277179221,208.309070404135,167.033197542021,175.806790036441,223.133727858205,158.308270023447,170.31371632022,192.060700497939,2023-12-11 21:00:00,194.328987682698,166.118941992732,177.073172165977,179.994950920577
227.828349011863,161.574299621083,NA,192.060700497939,221.038821182756,135.629769686728,187.039392781869,172.11736222735,130.436224646329,212.637106025976,165.703240333433,175.806790036441,2023-12-11 22:00:00,193.10113161365,169.947058444596,176.371316557651,179.994950920577
130.620066715526,208.645711431108,171.57366093816,175.806790036441,225.394037335071,160.623318519018,NA,192.060700497939,222.717747402608,136.959046327014,190.376432404683,172.11736222735,2023-12-11 23:00:00,192.910617151068,168.74269209238,180.975046671422,179.994950920577
224.33592155565,132.600766140125,192.474163525861,172.11736222735,133.330277179221,208.309070404135,167.507550683956,175.806790036441,222.615386299712,159.432489053008,171.302743631512,192.060700497939,2023-12-12,193.427195011528,166.780775199089,177.094819280443,179.994950920577
227.828349011863,161.574299621083,NA,192.060700497939,220.944228581661,135.629769686728,186.79434377974,172.11736222735,130.436224646329,213.628294429395,165.703240333433,175.806790036441,2023-12-12 01:00:00,193.069600746618,170.277454579069,176.248792056587,179.994950920577
130.620066715526,208.645711431108,171.57366093816,175.806790036441,225.394037335071,160.623318519018,NA,192.060700497939,222.717747402608,136.959046327014,192.126435946552,172.11736222735,2023-12-12 02:00:00,192.910617151068,168.74269209238,181.850048442356,179.994950920577
222.933050384905,132.600766140125,192.474163525861,172.11736222735,132.557376098967,211.01794374558,164.105186194921,175.806790036441,222.615386299712,159.432489053008,171.302743631512,192.060700497939,2023-12-12 03:00:00,192.701937594528,167.683732979571,175.960697784098,179.994950920577
227.828349011863,161.574299621083,NA,192.060700497939,222.29923774092,136.069150481488,186.79434377974,172.11736222735,130.436224646329,213.628294429395,165.703240333433,175.806790036441,2023-12-12 04:00:00,193.521270466371,170.423914843989,176.248792056587,179.994950920577
131.478857537817,206.338876409789,171.250110125271,175.806790036441,225.394037335071,160.623318519018,NA,192.060700497939,222.717747402608,136.959046327014,191.233015558078,172.11736222735,2023-12-12 05:00:00,193.196880758498,167.973747085274,181.241562841674,179.994950920577
